issueKey,cluster,title
MDL-39769,1,taking photos via file picker results in a huge sideways photo
MDL-39851,1,Full screen popup for mobile (filepicker/activitychooser)
MDL-40363,1,Files with spaces that are url encoded to %20 don't download under IIS
MDL-41033,1,Filepicker selecting file does not announce that the file modal opened
MDL-41159,1,The folder management icon has a weird zindex and shows above modal dialogues
MDL-41188,1,"Mobile: when closing file picker, the page should be re-centred on the file manager (if you were using the file manager)"
MDL-41189,1,"File picker: when editing a file from file manager, on a mobile device, the height of the file picker Edit dialog is too small."
MDL-41200,1,Change header for selecting file in filepicker
MDL-41213,1,File picker modal layout issues when using clean theme.
MDL-41215,1,filepicker infinite scroll scrolling issues
MDL-41229,1,Filepicker is broken in IE9
MDL-41232,1,Revert temporary fix in filepicker for IE8
MDL-41337,1,Can't delete the last file from filearea (under some circumstances)
MDL-41428,1,Missing space between coursefiles and course short name in filepicker
MDL-41591,1,Z-index issues with filepicker.
MDL-41702,1,Can't delete logo icon - Clean theme
MDL-41960,1,META: File manager/File picker toolbars do not match the new toolbar style.
MDL-42117,1,Drag and drop upload of resources breaks AJAX actions
MDL-42129,1,Create mock up for the filemanager to match the new toolbar
MDL-42130,1,Create mock up for the filepicker to match new toolbar
MDL-42147,1,Filepicker:  aesthetic css issues on IE9
MDL-42236,1,Style the filemanager to match the new toolbar
MDL-42237,1,Style the filepicker to match the new toolbar
MDL-42801,1,Drag and drop upload of resources doesn't add action icons correctly.
MDL-43737,1,Remove the {!} place holders from the file-picker renderers
MDL-43999,1,Atto: Double clicking on an image should open the image properties window
MDL-44079,1,Pressing escape in nested modal dialogues should only close the top dialogue
MDL-44881,1,The dialogue to pick a file in file picker is not nicely styled
MDL-44949,1,Repository picking in Atto Image plugin broken
MDL-45292,1,Bad RTL filepicker styles
MDL-32746,2,User login - trigger event
MDL-39844,2,Define and implement the event base class
MDL-39845,2,Define the new observers API
MDL-39846,2,Define new event dispatcher behaviour and implement it
MDL-39848,2,Check coverage of unit tests for new events API
MDL-39883,2,Duplicating activity on course page does not fire any event
MDL-39953,2,Replace Legacy events - Blogs
MDL-39954,2,Replace Legacy events - Assessable content
MDL-39955,2,Replace Legacy events - Completion
MDL-39956,2,Replace Legacy events - Cohort
MDL-39957,2,Replace Legacy events - Course
MDL-39958,2,Replace Legacy events - Groups
MDL-39959,2,Replace Legacy events - module
MDL-39960,2,Replace Legacy events - role
MDL-39961,2,Replace Legacy events - User
MDL-39962,2,Replace Legacy events - Mixed
MDL-39963,2,Legacy events and addtolog()  Cleanup
MDL-40805,2,user_logout event is not triggered when using CAS authentication with CAS logout option set to yes
MDL-41031,2,Create a base class for page viewed event
MDL-41039,2,Replace Legacy events - Quiz
MDL-41185,2,Create page viewed event for course
MDL-41285,2,Convert recent activity block to use new Events API
MDL-41389,2,The auth/db authentication plugin should trigger the user_created/updated event
MDL-41413,2,Replace enrol_meta event handlers with event observers
MDL-41440,2,"new completion events have ""new get_string(...)"" - get_string is a method not a class."
MDL-41456,2,Fix existing events to respect base access specifiers
MDL-41559,2,Replace handlers by observers for groups in mod_quiz
MDL-41962,2,Event handlers are not removed from the DB after upgrade
MDL-42001,2,Use observers instead of handlers in mod_chat
MDL-42003,2,Use observers instead of handlers in mod_forum
MDL-42004,2,Use observers instead of handlers in enrol_cohort
MDL-42269,2,Review all new events introduced in 2.6dev
MDL-42541,2,Refactor portfolio queue system to prevent usage of events_trigger()
MDL-42898,2,Develop a timeline page/block
MDL-42962,2,create a course_module_viewed abstract class
MDL-43171,2,Cleanup and fixup of the events/logging docs
MDL-43238,2,Improve event php doc to include other information
MDL-43289,2,Events for submission
MDL-43291,2,Events for collaboration
MDL-43292,2,Events for resources
MDL-43293,2,Events for comments
MDL-43294,2,Events for submission response
MDL-43557,2,Cleanup of existing events
MDL-43661,2,rename event property level to edulevel
MDL-43849,2,The observers for the event 'user_enrolment_deleted' are not tested via unit tests
MDL-44017,2,"Remove remaining uses of content_viewed, and deprecate it"
MDL-44107,2,Deprecate $event->can_view() until its purpose has been clarified
MDL-44500,2,validate course id is matching context in new events
MDL-44523,2,Define and correct edulevel in events
MDL-44637,2,Tool to list all events
MDL-45381,2,Mod_forum subscriptioncreated and subscriptiondeleted events link to incorrect locations
MDL-45721,2,"The \core\event\course_restored event is triggered on any restore, not just courses."
MDL-45916,2,Event monitor: Finalise the basic file and database structure
MDL-45918,2,Event monitor: Create a rule manager class with unit tests
MDL-45919,2,Event monitor: Create a subscription manager class
MDL-45938,2,Event monitor: Create a form to edit/add a new rule
MDL-45939,2,Event monitor: Create rule class
MDL-46109,2,Event monitor: Create a class to generate eventlist
MDL-46110,2,Event monitor: Create renderables/renderers to display the rule managment page
MDL-46111,2,Event monitor: Create renderables/renderers to display the subscription managment page
MDL-46129,2,Event monitor: Handle creating/deleting subscriptions
MDL-46130,2,Event monitor: Handle rule managment
MDL-46131,2,Event monitor: Sort out navigation
MDL-46132,2,Event monitor: Implement the event observer
MDL-46133,2,Event monitor: Implement cron task to clean events table
MDL-46134,2,Event monitor: Implement cron task to send notifications
MDL-46241,2,Event monitor: Create a subscription instance class
MDL-46409,2,Event monitor: Consolidate and increase unit tests for the tool
MDL-46410,2,Event monitor: Implement a notification sent history report
MDL-46510,2,Event monitor: Delete rules when course is deleted
MDL-47148,2,Event monitor: Write behat tests for the tool
MDL-47152,2,Event monitor: Add help icon on subscriptions manage page
MDL-47153,2,Event monitor: Trigger various events
MDL-52709,2,Create C(R)UD events for competency frameworks
MDL-52710,2,Create event for framework viewed
MDL-52711,2,Create C(R)UD events for templates
MDL-52712,2,Create event for template viewed
MDL-52959,2,Create C(R)UD events for competencies
MDL-52960,2,Created event for competency viewed
MDL-53160,2,Create C(R)UD events for evidence of prior learning
MDL-53182,2,Create events for plan workflow
MDL-53188,2,Add event for when an evidence is attached to a user competency
MDL-53190,2,Create event for evidence of prior learning viewed
MDL-53196,2,Add relevant record snapshot to existing events
MDL-24343,3,Properly deprecate unzip_file/zip_file
MDL-34434,3,META: Collect together deprecated code changes for Moodle 2.6
MDL-34454,3,remove message_get_my_providers() from lib/messagelib.php
MDL-34472,3,Add deprecate warning to get_context_instance() function
MDL-35009,3,Deprecate get_context_instance_by_id()
MDL-35024,3,META: Collect together deprecated code changes for Moodle 2.7
MDL-37813,3,$CFG->stringfilters do not get updated during upgrade or when a filter is deleted
MDL-38832,3,Remove unused FRONTPAGE* constants
MDL-39873,3,check usage of class_exists to avoid usage of autoloading
MDL-40020,3,Check usage of comment::init() and set component param
MDL-40220,3,"Remove deprecated calls to get_plugin_types(), get_plugin_list() etc"
MDL-41619,3,Event files should not be accessed directly (ie. through the URL).
MDL-41690,3,Deprecate previously public methods in class cm_info
MDL-41787,3,MATURITY_ALPHA and friends cannot be defined in lib/setuplib.php
MDL-42040,3,Organize the registration of shutdown handlers
MDL-42223,3,Deprecate $CFG->cachejs in favour of reusing $CFG->debug
MDL-42243,3,filter settings regressions
MDL-42381,3,remove unused OLE lib and pear excel leftovers
MDL-42387,3,Revisit CFG->filelifetime implementation and uses
MDL-42421,3,Remove incorrect statement in auth/upgrade.txt
MDL-42467,3,Deleted Database and Glossary entries in RSS Block
MDL-42493,3,"Upgrade to current 2.6beta, memory exhausted problem purging caches"
MDL-42834,3,Deprecate loginhttps
MDL-43402,3,Cleanup: delete all unnecessary conditional code detecting zlib enabled
MDL-43481,3,Cleanup: delete all unnecessary legacy password hashing code
MDL-43506,3,Remove various deprecated block functions
MDL-43511,3,question bank should not store references to MUC cache
MDL-43515,3,cleanup PHPunit docs page linked from admin settings
MDL-43527,3,cleanup safe_mode references in 2.7
MDL-43528,3,cleanup magic quotes stuff in 2.7
MDL-43529,3,cleanup all references to register_globals in 2.7
MDL-43537,3,cleanup old environment check stuff
MDL-44475,3,Atto is using deprecated features and modules
MDL-46568,3,Clean up the history report
MDL-49599,3,Deprecate old boxnet v1 API
MDL-50051,3,Make sure all functions in lib/deprecatedlib.php have debugging message
MDL-50267,3,Remove strings deprecated in 2.9
MDL-51942,3,Ensure that constant MOODLE_INTERNAL is used everywhere
MDL-54984,3,Final deprecation / removal of MUC stuff deprecated in 2.6
MDL-54988,3,Final deprecation of methods from lib/modinfolib.php
MDL-55126,3,Deprecated get_records_csv() and put_records_csv()
MDL-55173,3,Forum final deprecations to 2.8
MDL-40040,4,Replace add_to_log with an event trigger - Blog
MDL-40041,4,Replace add_to_log with an event trigger - Course
MDL-40042,4,Replace add_to_log with an event trigger - completion
MDL-40043,4,Replace add_to_log with an event trigger - course
MDL-40044,4,Replace add_to_log with an event trigger - role
MDL-40045,4,Replace add_to_log with an event trigger - User
MDL-40046,4,Replace add_to_log with an event trigger - mod_page
MDL-40047,4,Replace add_to_log with an event trigger - mod_feedback
MDL-40048,4,Replace add_to_log with an event trigger - mod_chat
MDL-40049,4,Replace add_to_log with an event trigger - mod_choice
MDL-40050,4,Replace add_to_log with an event trigger - webservices
MDL-40051,4,Replace add_to_log with an event trigger - misc
MDL-40052,4,Replace add_to_log with an event trigger - course reports
MDL-40053,4,Replace add_to_log with an event trigger - notes
MDL-40054,4,Replace add_to_log with an event trigger - mod_lesson
MDL-40055,4,Replace add_to_log with an event trigger - mod_assign
MDL-40056,4,Replace add_to_log with an event trigger - mod_scorm
MDL-40057,4,Replace add_to_log with an event trigger - mod_assignment
MDL-40058,4,Replace add_to_log with an event trigger - mod_wiki
MDL-40059,4,Replace add_to_log with an event trigger - mod_glossary
MDL-40060,4,Replace add_to_log with an event trigger - mod_book
MDL-40061,4,Replace add_to_log with an event trigger - mod_data
MDL-40062,4,Replace add_to_log with an event trigger - mod_forum
MDL-40063,4,Replace add_to_log with an event trigger - mod_quiz
MDL-40907,4,Replace add_to_log with an event trigger - course module
MDL-40908,4,Replace add_to_log with an event trigger - tag
MDL-40909,4,Replace add_to_log with an event trigger - enrol
MDL-40910,4,Replace add_to_log with an event trigger - grade
MDL-40911,4,Replace add_to_log with an event trigger - login
MDL-40912,4,Replace add_to_log with an event trigger - course category
MDL-40913,4,Replace add_to_log with an event trigger - message
MDL-40914,4,Replace add_to_log with an event trigger - authentication
MDL-40915,4,Replace add_to_log with an event trigger - calendar
MDL-40916,4,Replace add_to_log with an event trigger - mod_imscp
MDL-40917,4,Replace add_to_log with an event trigger - mod_resource
MDL-40918,4,Replace add_to_log with an event trigger - mod_lti
MDL-40919,4,Replace add_to_log with an event trigger - mod_survey
MDL-40920,4,Replace add_to_log with an event trigger - mod_url
MDL-40921,4,Replace add_to_log with an event trigger - mod_workshop
MDL-40922,4,Replace add_to_log with an event trigger - mod_folder
MDL-41101,4,Replace existing add_to_log calls for mod_assign
MDL-41123,4,Replace add_to_log call for page viewed in /report/completion/user.php
MDL-43965,4,Deprecate add_to_log() function
MDL-43966,4,Write transition guide for events and logging
MDL-44340,4,Replace add_to_log in mod_workshop (part 2)
MDL-16073,5,"Add ""test database setup"" to the ""External Database"" enrollment and authentication plugins"
MDL-16982,5,Adding data mapping for custom user fields
MDL-18633,5,User profile: add last ip field to user view
MDL-27953,5,"Upload users option only allow the following authentication options: Manual account, or No login"
MDL-31560,5,New message_send API is incapable of sending notfications from the $CFG->noreplyaddress.
MDL-31625,5,Overfilling DB entries with a replace causes error
MDL-31776,5,"Additional name fields, to allow Asian languages to flexibly display user names in Chinese characters, local phonetic system or Romanization"
MDL-37243,5,Comments API doesn't store or validate component
MDL-39746,5,"On discussion page, user name is overlapping with profile picture"
MDL-40962,5,Alternate name warnings in Recent Activity block
MDL-41170,5,user_updated event not triggered when user password modified in moodlelib.php functions
MDL-41176,5,Debugging when changing a users email address and other bugs
MDL-41226,5,User profile field submit buttons in awkward location when using clean theme.
MDL-41307,5,Tags needs updating for changes to fullname function.
MDL-41316,5,Spam cleaner  using ORACLE
MDL-41415,5,Fix user_loggedin event to respect base access specifiers and wrong usage of object creation in get_name()
MDL-41953,5,Relax component name rules slightly to allow more than one digit at the end
MDL-41999,5,do not use $USER->password and $USER->description directly
MDL-42082,5,Password field appears as text plain in the external database auth plugin form
MDL-42097,5,can_change_password() set to false should not display the password form input during update
MDL-42098,5,Debugging message only shown when alternate name fields are enabled.
MDL-42173,5,Name fields notices on registration page.
MDL-42208,5,use unmasking password field in auth plugin configs (master) and prevent saving of passwords
MDL-42225,5,Badge recipients page warns about additional name fields missing
MDL-42226,5,Viewing an issued badge warns about additional name fields missing
MDL-42342,5,Alternate name warnings in quiz results block
MDL-42390,5,User name (first/last) not properly scrubbed
MDL-42440,5,Cannot enable most authentication plugins
MDL-42465,5,Beeping user in chat causes strict standard warning
MDL-42547,5,Bulk users upload: values are not trimmed in CSV file when bulk uploading users
MDL-42884,5,Can not delete users with invalid emails
MDL-42885,5,Updating existing users via bulk upload causes debugging messages
MDL-42934,5,Self registration does not use site language setting
MDL-42935,5,"user_create_user and user_update_user functions do not validate auth, lang or theme"
MDL-42993,5,Username with spaces no longer valid for LDAP authenticated users
MDL-43037,5,Quiz user overrides generates alternate names debugging message
MDL-43058,5,report_security_check_riskxss reports additional name fields in the user object.
MDL-43140,5,When submitting the form on the mnet access control page a warning is shown
MDL-43142,5,No username variable passed to mnet access control string
MDL-43196,5,After upgrading to 2.6 my email-based-self-registration serves up an error when I click on 'Create New User' on the front page
MDL-43215,5,Adding web service token generates alternate names debugging message
MDL-43451,5,"Cron task ""Creating passwords for new users"" missing additional name fields"
MDL-43488,5,Self registration requires city and country fields
MDL-43905,5,incorrect code for updates of login times
MDL-44745,5,Typo in mod assign fullname() function
MDL-45562,5,Editing external blog throws exception
MDL-45772,5,"Some forms with passwords and usernames get populated by the browser, which is not desired"
MDL-45936,5,The auth/db plugin should use the core functions user_create_user and user_update_user
MDL-46016,5,Shibboleth contains misleading comment regarding user passwords
MDL-46649,5,The user selector search does not respect the parameters passed
MDL-47457,5,We need a log in icon for the user menu.
MDL-5583,5,allow teachers to specify certain fields in database activity as required
MDL-42015,6,Module-specific activity completion requirements do not show in course completion
MDL-42330,6,Automate MDLQA-5257 - An admin can award a site badge
MDL-42331,6,Automate MDLQA-5258 - A teacher can add and allocate a course badge
MDL-42332,6,Automate MDLQA-5260 and MDLQA-5261 - A badge can be awarded based on activity and course completion.
MDL-47490,6,Finish VERP work in current sprint
MDL-49461,6,Mark competencies complete when the course is completed
MDL-49463,6,A user can upload evidence or prior learning
MDL-49464,6,Course competency links should be included in course backup/restore
MDL-50253,6,Competencies can be related to other competencies
MDL-50328,6,Allow competencies to be assigned to a user learning plan
MDL-50439,6,Create a universal block to display CBE related information
MDL-50482,6,Add ability to duplicate a learning plan template
MDL-51024,6,Create a new page that can migrate a set of courses from one competency framework to another
MDL-51026,6,A competency framework can customise the terms for up to 4 competency levels
MDL-51029,6,"Add ""completion rules"" for all competencies in a framework that are branches"
MDL-51033,6,Create User Learning Plans from a Learning Plan Template
MDL-51034,6,Add page to list competencies in a user learning plan
MDL-51035,6,"Create workflow for requesting approval, and approving draft learning plans."
MDL-51036,6,"Create a workflow for requesting a competency be reviewed, and reviewing outstanding requests"
MDL-51039,6,Add completion rules to course - competency links
MDL-51042,6,Create a statistics report for a learning plan template
MDL-51045,6,"Create a way to import a competency framework from a set of Moodle ""Outcomes""."
MDL-51130,6,Deleting frameworks should delete associated data
MDL-51233,6,Remove unused ID number from learning plan templates
MDL-51442,6,Framework scales configuration must be mandatory
MDL-51504,6,Template due date must not be set in the past
MDL-51507,6,External functions to create/update competency frameworks lack scale information
MDL-51513,6,Properly delete a competency
MDL-51598,6,Wrong number of competencies displayed in the list of competency frameworks
MDL-51602,6,Add ability to duplicate a competency framework
MDL-51638,6,Use taxonomy terms in competency names everywhere
MDL-51644,6,Create persistent model for user_competency
MDL-51645,6,Rename the plan capabilities
MDL-51646,6,Implement plan status
MDL-51647,6,Create a schedule task to close the plans that reached their due date
MDL-51805,6,Freeze a learning plan when it is marked as completed
MDL-51862,6,Create a persistent model user_competency_plan
MDL-51866,6,Framework's scale cannot be changed once used
MDL-51869,6,Users can link evidence of prior learning to their competencies
MDL-51953,6,Missing four services definitions
MDL-51963,6,Support custom scales per competency
MDL-51967,6,Create a dialogue to view all the information about a competency
MDL-51968,6,Remove the ability to change the userid of a plan
MDL-52104,6,Improve UI for the change of states in plan
MDL-52106,6,Remove competency rules on parent when children are being moved or deleted
MDL-52122,6,Create an API to register evidence to competencies
MDL-52229,6,Handle hidden templates/frameworks when linking competencies
MDL-52233,6,Show the idnumber of the competency in the user learning plan (and template)
MDL-52242,6,Competencies listed in a completed plan must never change
MDL-52272,6,"Rename ""Status"" and ""State"" on plan page"
MDL-52282,6,Create a scheduled task to sync plans from template cohorts
MDL-52408,6,api::list_related_competencies should not require manage capability
MDL-52418,6,Invalid responses in learning plan templates and course competencies pages
MDL-52423,6,Create a plan summary screen
MDL-52424,6,Plans page should show the template the plan is based on
MDL-52426,6,Template competencies page should not require manage permissions
MDL-52432,6,Add ability to unlink a plan from its template
MDL-52463,6,Learning plan templates: Cannot sync cohorts at category level
MDL-52485,6,Validate the duedate of a plan
MDL-52561,6,Plan created from cohort and deleted are recreated by sync task
MDL-52675,6,When deleting a template delete or unlink derived plans
MDL-52676,6,When deleting a template delete associated template_cohorts
MDL-52690,6,Do not automatically create plans for big cohort
MDL-52696,6,Better handling of template due date when creating plans
MDL-52713,6,Add behat tests for CRUD operations on frameworks
MDL-52714,6,Behat tests for templates CRUD operations
MDL-52741,6,Show the taxonomy level for a competency in the competency summary template
MDL-52743,6,Add a statistics report to the course (competencies)
MDL-52744,6,grade_competency_in_course missing security check
MDL-52745,6,Only show evidence for a completency in a completed plan up to the timestamp the plan was completed.
MDL-52747,6,Show the courses a competency is linked to from the competency summary in plan page.
MDL-52755,6,Competencies sort order is not preserved when plan is completed
MDL-52775,6,api::get_course_competency is identical to api::list_course_competencies
MDL-52803,6,Provide a way to hide/disable comments on competencies and plans
MDL-52847,6,Error when duplicating framework whitout competencies
MDL-52860,6,Add confirmation dialogue when removing a competency from a course
MDL-52979,6,Only show course ratings / proficiency when viewing a competency in a course
MDL-53084,6,Unclear what we are viewing when in a user competency in a plan
MDL-53162,6,Behat tests for plans CRUD operations
MDL-53163,6,Behat tests for plans workflow
MDL-53186,6,Sending competencies for review from the evidence of prior learning interface
MDL-53187,6,Create events for user competency workflow
MDL-53189,6,Create event for user competency viewed
MDL-53193,6,Add behat tests for CRUD of evidence of prior learning
MDL-53194,6,Add behat tests for linking evidence of prior learning with competencies
MDL-53211,6,Create a user_competency_course model and populate it on suggest
MDL-34055,7,Database function for fast bulk inserts
MDL-34248,7,Restoring a course fails at mdl_log insert
MDL-36088,7,Adding/modifying questions to/in the question bank is not logged
MDL-37181,7,Backups report show all courses with status Skipped.
MDL-39888,7,Replace usages of the log table in auth/mnet/auth.php
MDL-39933,7,Implement external database log storage plugin
MDL-39950,7,Reproduce log reports to use the new logging system (log and loglive)
MDL-41266,7,Define logging interfaces in core
MDL-41268,7,Implement tool_log plugin
MDL-41269,7,Implement logstore_standard plugin
MDL-41270,7,Implement new log storage management admin UI
MDL-41271,7,Implement log store settings and related filtering code
MDL-41272,7,Implement logstore_legacy emulation reader plugin
MDL-41284,7,Convert Statistics report to new logging API
MDL-41286,7,Convert outline report to use new logging API
MDL-41287,7,Buffering in standard log storage
MDL-42889,7,Remove access to old log table in admin/handlevirus.php and other clam related code
MDL-42890,7,Reimplement access to log table in backup/util/helper/backup_cron_helper.class.php
MDL-42891,7,Reimplement access to log table in functions notify_login_failures() and count_login_failures()
MDL-42892,7,Reimplement access to log table in function can_delete_course()
MDL-42894,7,Investigating performance of the new logging API in practice
MDL-43274,7,Prevent course logs from being deleted when course is reset
MDL-43761,7,improve database install performance (especially MySQL)
MDL-43903,7,prevent error log output from addodb during phpunit execution
MDL-43931,7,Write unit tests for logging stores and managers
MDL-43967,7,Write transition guide for reports that rely on logs
MDL-44106,7,use 'restore' and 'ws' origin in logged events
MDL-44370,7,Incorrect urls for calendar logs in log and loglive reports
MDL-44496,7,buffer raw data instead of full events in log stores
MDL-44746,7,Remove incorrect use of snapshots in events
MDL-45754,7,Backup and restore of logs in 2.7 and above
MDL-46118,7,"Problems in downloading course log files, only 30 lines are downloaded"
MDL-46455,7,Re-introduce backup/restore functionality with new logging system
MDL-46571,7,Write Unit Tests for the history report
MDL-46573,7,Improve the SQL queries of the history report
MDL-10115,8,A use profile's course list is arbitarily limited with no way of seeing complete list
MDL-21415,8,Course Participation Report doesn't abide by separate groups
MDL-24120,8,Allow admin to remain logged in after login as procedure
MDL-27339,8,"The link Create ""File system"" instance do not work"
MDL-31089,8,New posts listing on 'My Moodle' ignores groups.
MDL-32275,8,enrol/users.php shows last access to the platform but not last access to the course
MDL-33618,8,A way to hide messages that were configured to never be sent
MDL-33741,8,Teacher can't access course files in hidden categories using the Filepicker with the server files repository
MDL-36460,8,Forced/Auto forums list all potential subscribers and ignore completion/availability info
MDL-37679,8,"When viewing a single section, the page title does not update"
MDL-37717,8,add warning when teacher tries to disable enrolment method (same as when deleting it)
MDL-38780,8,Unread Posts listing on 'My Moodle' should take care of groups
MDL-39299,8,CSS issues on a course page using Bootstrap (Clean theme)
MDL-39393,8,Changing activity title on course front page with AJAX does not fire mod_updated event
MDL-39603,8,Search filter on enrolled users page is confusing in clean theme
MDL-39794,8,"When editing is on for the front page, then always show the ""Add course"" button under the current courses."
MDL-40248,8,Activity Chooser should better support subtypes
MDL-40975,8,Review new course editing interface
MDL-41227,8,D&D moving module to hidden section does not change visibility
MDL-41231,8,Export to portfolio button at bottom of database activity view doesn't work if Delete selected button is displayed.
MDL-41589,8,Cannot delete a user's role in a course
MDL-41605,8,Search filter on enrolled users page update filter while deleting user role in non-js mode.
MDL-42085,8,Default Enrollment duration is not applied when manually enrolling a user if enrollment option is not expanded.
MDL-42100,8,Bad links in Capability overview report
MDL-42212,8,Lesson module is not browseable using the Server Files repository
MDL-42217,8,Course actionmenu is not toggled by coursebase setup_for_*
MDL-42392,8,Block content doesn't show when the content was hidden and javascript is turned off
MDL-42512,8,Missing filters are displayed in the filters administration
MDL-42588,8,Add option to Scorm setting to display or hide activity name
MDL-43684,8,"Activity drag and drop makes an activity appear ""visible"" even when it's not."
MDL-43688,8,Clean: Notice about drag & drop being available is hidden under the navbar
MDL-43941,8,Activity show/hide toggle doesn't work in hidden or orphaned sections
MDL-44368,8,filter_activitynames can be improved after dropping of global text cache
MDL-44627,8,"Show/hide, edit title, group mode module buttons don't trigger course_module_updated event"
MDL-45893,8,Developing a User Menu
MDL-46035,8,Survey activity shows wrong error message to admins
MDL-46401,8,Use cohorts to restrict display of course categories and set themes
MDL-46523,8,Add body class when logged in as other role
MDL-47252,8,Discussion subscriptions visible (and broken) to guests
MDL-51557,8,Add learning plans to the administration block in categories
MDL-52062,8,User's learning plan pages do not have a breadcrumb
MDL-52235,8,"Button ""Add new learning plan"" should not be displayed when permissions are missing"
MDL-52757,8,Course competencies: Problem when selecting users in the manual marking page
MDL-21180,9,Category children default to extra credit when category agg is switched from Weighted to Simple
