museum_id,cluster,name,city,cluster_name
12926,10,The Museum of Coastal Folk,Pringi,Rural and Local History Museums
19116,10,Ants Laikmaa Museum,Kadarpiku,Rural and Local History Museums
21178,10,Iisaku Parish Museum,Iisaku,Rural and Local History Museums
24647,10,Heimtali Museum,Heimtali,Rural and Local History Museums
26826,10,Mulgi Experience Center(Closed in October),Helme,Rural and Local History Museums
30097,10,Kolkja Museum of Old Believers,Kolkja,Rural and Local History Museums
30268,10,Ruhnu Museum,Ruhnu,Rural and Local History Museums
31247,10,Audru Museum,Audru,Rural and Local History Museums
31271,10,Sagadi Forest Museum,Sagadi,Rural and Local History Museums
31475,10,Mahtra Peasantry Museum,Juuru,Rural and Local History Museums
31485,10,"Rehbinder House(temporarily closed, reopening on 20 January 2026)",Sõmeru,Rural and Local History Museums
9022,10,Long House,Kärdla,Rural and Local History Museums
9038,10,The Kohtla-Järve Museum of Oil Shale,Kohtla-Järve,Rural and Local History Museums
9059,10,Dr. Fr. R. Kreutzwald Memorial Museum,Antsla,Rural and Local History Museums
9063,10,Museum of Viljandi,Viljandi,Rural and Local History Museums
9081,10,The Juhan Liiv Museum,Rupsi,Rural and Local History Museums
9104,10,Mart Saar Museum,Karjasoo,Rural and Local History Museums
9122,10,The Mõniste Rural Life Museum,Kuutsi,Rural and Local History Museums
9136,10,Kihnu Museum,Linaküla,Rural and Local History Museums
9146,10,Saatse Museum,Samarina,Rural and Local History Museums
9173,10,Rakvere Town Citizen’s Home Museum,Rakvere,Rural and Local History Museums
9181,10,The Viimsi Open Air Museum,Pringi,Rural and Local History Museums
9189,10,The Kassari Museum House,Kassari village,Rural and Local History Museums
9233,10,The Valga Museum,Valga,Rural and Local History Museums
9239,10,Karilatsi Open Air Museum,Karilatsi,Rural and Local History Museums
9260,10,Harju County Museum,Keila,Rural and Local History Museums
